geneID,baseMean,mean_broth,mean_plate,log2FC_shrunk,log2FoldChange,lfcSE,stat,pvalue,padj,eggNOG_OGs,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
J2S48_RS20875,14926.895,754.3219444,36185.75459,5.546077648,5.577722507,0.298160858,18.70709171,4.33E-78,1.48E-74,"COG0803@1|root,COG0803@2|Bacteria,2GM1K@201174|Actinobacteria,4F45V@85017|Promicromonosporaceae",P,Zinc-uptake complex component A periplasmic,-,-,-,ko:K09815,"ko02010,map02010",M00242,-,-,"ko00000,ko00001,ko00002,ko02000","3.A.1.15.3,3.A.1.15.5",-,-,ZnuA
J2S48_RS20100,68224.2437,545.3278093,169742.6175,8.231774684,8.279451208,0.458508455,18.05735774,6.90E-73,1.18E-69,"COG3391@1|root,COG3391@2|Bacteria,2GKI4@201174|Actinobacteria,4F575@85017|Promicromonosporaceae",S,amine dehydrogenase activity,-,-,-,-,-,-,-,-,-,-,-,-,-
J2S48_RS06520,5787.159649,318.3691233,13990.34544,5.413564486,5.446310012,0.304709392,17.87378451,1.89E-71,2.15E-68,"COG0024@1|root,COG0024@2|Bacteria,2GKKB@201174|Actinobacteria",J,Methionine aminopeptidase,-,-,3.4.11.18,ko:K01265,-,-,-,-,"ko00000,ko01000,ko01002",-,-,-,Peptidase_M24
J2S48_RS19305,14277.15292,185.669541,35414.378,7.493338498,7.548772696,0.513709035,14.69464655,6.98E-49,5.95E-46,"COG2755@1|root,COG2755@2|Bacteria,2GKSW@201174|Actinobacteria",E,"PFAM glycoside hydrolase, family 10",-,-,-,-,-,-,-,-,-,-,-,-,-
J2S48_RS02850,674.3210684,1103.67165,30.29519528,-5.140519212,-5.186917284,0.354814124,-14.61868887,2.13E-48,1.46E-45,,,,,,,,,,,,,,,,
J2S48_RS14025,4670.230892,312.7519686,11206.44928,5.113419058,5.160861924,0.364634984,14.15350186,1.78E-45,1.01E-42,"2EJW2@1|root,31WMF@2|Bacteria,2HY4N@201174|Actinobacteria,4F524@85017|Promicromonosporaceae",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
J2S48_RS19300,1981.025841,74.42986844,4840.919799,5.902920163,5.961369397,0.441127611,13.51393394,1.29E-41,6.27E-39,"COG0730@1|root,COG0730@2|Bacteria,2II68@201174|Actinobacteria,4F4FT@85017|Promicromonosporaceae",S,Sulfite exporter TauE/SafE,-,-,-,ko:K07090,-,-,-,-,ko00000,-,-,-,TauE
J2S48_RS20885,7339.110721,810.2027214,17132.47272,4.351833858,4.398786481,0.325726169,13.5045535,1.47E-41,6.27E-39,"COG1108@1|root,COG1108@2|Bacteria,2GJ7H@201174|Actinobacteria,4F38S@85017|Promicromonosporaceae",P,ABC 3 transport family,-,-,-,ko:K09816,"ko02010,map02010",M00242,-,-,"ko00000,ko00001,ko00002,ko02000","3.A.1.15.3,3.A.1.15.5",-,-,ABC-3
J2S48_RS19270,5758.530923,1158.743468,12658.21211,3.417019102,3.452948695,0.26435037,13.06201576,5.43E-39,2.06E-36,,,,,,,,,,,,,,,,
J2S48_RS12635,5955.780482,9614.02294,468.4167967,-4.308430204,-4.359381417,0.340686544,-12.79587201,1.73E-37,5.90E-35,"COG0668@1|root,COG0668@2|Bacteria,2HD92@201174|Actinobacteria",M,PFAM Conserved TM helix,-,-,-,-,-,-,-,-,-,-,-,-,TM_helix
