geneID,baseMean,mean_broth,mean_plate,log2FC_shrunk,log2FoldChange,lfcSE,stat,pvalue,padj,eggNOG_OGs,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
J2S48_RS02850,674.3210684,1103.67165,30.29519528,-5.140519212,-5.186917284,0.354814124,-14.61868887,2.13E-48,1.46E-45,,,,,,,,,,,,,,,,
J2S48_RS12635,5955.780482,9614.02294,468.4167967,-4.308430204,-4.359381417,0.340686544,-12.79587201,1.73E-37,5.90E-35,"COG0668@1|root,COG0668@2|Bacteria,2HD92@201174|Actinobacteria",M,PFAM Conserved TM helix,-,-,-,-,-,-,-,-,-,-,-,-,TM_helix
J2S48_RS16660,31173.59105,50655.24447,1951.110926,-4.63949854,-4.698211896,0.377723176,-12.43824102,1.62E-35,3.69E-33,"COG2148@1|root,COG2148@2|Bacteria,2GK0M@201174|Actinobacteria,4F3KC@85017|Promicromonosporaceae",M,CoA-binding domain,-,-,-,-,-,-,-,-,-,-,-,-,"Bac_transf,CoA_binding_3"
J2S48_RS13845,14531.7126,22504.56452,2572.434713,-3.093320567,-3.128875721,0.257320054,-12.15947095,5.11E-34,1.03E-31,,,,,,,,,,,,,,,,
J2S48_RS13825,11342.09685,17924.78424,1468.065753,-3.563715399,-3.609787344,0.304571986,-11.85200056,2.10E-32,3.98E-30,"COG1028@1|root,COG1028@2|Bacteria,2GJU1@201174|Actinobacteria,4F36T@85017|Promicromonosporaceae",IQ,KR domain,-,-,-,-,-,-,-,-,-,-,-,-,adh_short_C2
J2S48_RS10390,2787.30872,4644.443234,1.606949072,-11.33465482,-11.50755236,0.979880011,-11.74383826,7.60E-32,1.30E-29,"COG0091@1|root,COG0091@2|Bacteria,2IM3J@201174|Actinobacteria,4F4I0@85017|Promicromonosporaceae",J,"The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome",rplV,"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0008150,GO:0015934,GO:0022625,GO:0022626,GO:0030312,GO:0032991,GO:0040007,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071944,GO:1990904",-,ko:K02890,"ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_L22
J2S48_RS25930,2047.496496,3291.556816,181.4060159,-4.129763348,-4.181736448,0.358609896,-11.66096222,2.02E-31,3.13E-29,,,,,,,,,,,,,,,,
J2S48_RS08830,462.3999522,768.7752823,2.836957206,-7.944546271,-8.068158589,0.711938142,-11.33266799,9.04E-30,1.29E-27,"COG1834@1|root,COG1834@2|Bacteria,2GNTN@201174|Actinobacteria,4F479@85017|Promicromonosporaceae",E,Amidinotransferase,-,"GO:0003674,GO:0003824,GO:0016403,GO:0016787,GO:0016810,GO:0016813",-,-,-,-,-,-,-,-,-,-,Amidinotransf
J2S48_RS02470,6881.263124,10428.21068,1560.84179,-2.704959933,-2.739946756,0.243603142,-11.24758379,2.38E-29,3.25E-27,"COG1063@1|root,COG1063@2|Bacteria,2GISW@201174|Actinobacteria,4F435@85017|Promicromonosporaceae",E,Alcohol dehydrogenase GroES-like domain,fdh,-,-,-,-,-,-,-,-,-,-,-,"ADH_N,ADH_N_assoc,ADH_zinc_N"
J2S48_RS25310,8892.65335,13699.25247,1682.754676,-2.984176534,-3.024994924,0.270796389,-11.17073583,5.67E-29,7.44E-27,"COG0028@1|root,COG0028@2|Bacteria,2GJ20@201174|Actinobacteria,4FME3@85023|Microbacteriaceae",EH,"Thiamine pyrophosphate enzyme, central domain",poxB,-,"1.2.3.3,1.2.5.1","ko:K00156,ko:K00158","ko00620,ko01100,map00620,map01100",-,"R00207,R03145","RC00860,RC02745","ko00000,ko00001,ko01000",-,-,-,"TPP_enzyme_C,TPP_enzyme_M,TPP_enzyme_N"
