geneID,COG_category,baseMean,mean_broth,mean_plate,log2FC_shrunk,log2FoldChange,lfcSE,stat,pvalue,padj,eggNOG_OGs,Description,Function/Purpose,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
J2S48_RS20875,P,14926.895,754.3219444,36185.75459,5.546077648,5.577722507,0.298160858,18.70709171,4.33E-78,1.48E-74,"COG0803@1|root,COG0803@2|Bacteria,2GM1K@201174|Actinobacteria,4F45V@85017|Promicromonosporaceae",Zinc-uptake complex component A periplasmic,growth & virulence,-,-,-,ko:K09815,"ko02010,map02010",M00242,-,-,"ko00000,ko00001,ko00002,ko02000","3.A.1.15.3,3.A.1.15.5",-,-,ZnuA
J2S48_RS20100,S,68224.2437,545.3278093,169742.6175,8.231774684,8.279451208,0.458508455,18.05735774,6.90E-73,1.18E-69,"COG3391@1|root,COG3391@2|Bacteria,2GKI4@201174|Actinobacteria,4F575@85017|Promicromonosporaceae",amine dehydrogenase activity,growth,-,-,-,-,-,-,-,-,-,-,-,-,-
J2S48_RS06520,J,5787.159649,318.3691233,13990.34544,5.413564486,5.446310012,0.304709392,17.87378451,1.89E-71,2.15E-68,"COG0024@1|root,COG0024@2|Bacteria,2GKKB@201174|Actinobacteria",Methionine aminopeptidase,protein synthesis,-,-,3.4.11.18,ko:K01265,-,-,-,-,"ko00000,ko01000,ko01002",-,-,-,Peptidase_M24
J2S48_RS19305,E,14277.15292,185.669541,35414.378,7.493338498,7.548772696,0.513709035,14.69464655,6.98E-49,5.95E-46,"COG2755@1|root,COG2755@2|Bacteria,2GKSW@201174|Actinobacteria","PFAM glycoside hydrolase, family 10",digestion,-,-,-,-,-,-,-,-,-,-,-,-,-
J2S48_RS14025,-,4670.230892,312.7519686,11206.44928,5.113419058,5.160861924,0.364634984,14.15350186,1.78E-45,1.01E-42,"2EJW2@1|root,31WMF@2|Bacteria,2HY4N@201174|Actinobacteria,4F524@85017|Promicromonosporaceae",-,,-,-,-,-,-,-,-,-,-,-,-,-,-
J2S48_RS19300,S,1981.025841,74.42986844,4840.919799,5.902920163,5.961369397,0.441127611,13.51393394,1.29E-41,6.27E-39,"COG0730@1|root,COG0730@2|Bacteria,2II68@201174|Actinobacteria,4F4FT@85017|Promicromonosporaceae",Sulfite exporter TauE/SafE,homeostasis & waste removal,-,-,-,ko:K07090,-,-,-,-,ko00000,-,-,-,TauE
J2S48_RS20885,P,7339.110721,810.2027214,17132.47272,4.351833858,4.398786481,0.325726169,13.5045535,1.47E-41,6.27E-39,"COG1108@1|root,COG1108@2|Bacteria,2GJ7H@201174|Actinobacteria,4F38S@85017|Promicromonosporaceae",ABC 3 transport family,,-,-,-,ko:K09816,"ko02010,map02010",M00242,-,-,"ko00000,ko00001,ko00002,ko02000","3.A.1.15.3,3.A.1.15.5",-,-,ABC-3
J2S48_RS19270,,5758.530923,1158.743468,12658.21211,3.417019102,3.452948695,0.26435037,13.06201576,5.43E-39,2.06E-36,,,,,,,,,,,,,,,,
J2S48_RS25080,U,17810.94147,4533.944859,37726.43639,3.025282666,3.056335654,0.240709301,12.69720629,6.13E-37,1.90E-34,"COG1314@1|root,COG1314@2|Bacteria,2GR31@201174|Actinobacteria,4F4TB@85017|Promicromonosporaceae",Preprotein translocase SecG subunit,protein translocation,secG,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",-,ko:K03075,"ko02024,ko03060,ko03070,map02024,map03060,map03070",M00335,-,-,"ko00000,ko00001,ko00002,ko02044","3.A.5.1,3.A.5.2",-,-,SecG
J2S48_RS20105,S,1549.454041,155.29181,3640.697388,4.475277156,4.527416646,0.358844497,12.61665339,1.71E-36,4.86E-34,"COG0596@1|root,COG0596@2|Bacteria,2GK79@201174|Actinobacteria,4F3FY@85017|Promicromonosporaceae",Epoxide hydrolase N terminus,detoxification,-,-,-,ko:K21159,"ko01059,map01059",-,-,-,"ko00000,ko00001",-,-,-,EHN
J2S48_RS13985,D,14000.03829,2504.270698,31243.68968,3.606226802,3.642124984,0.291849368,12.47946847,9.66E-36,2.54E-33,"2E4NY@1|root,32ZHR@2|Bacteria,2GQPW@201174|Actinobacteria,4F4Y9@85017|Promicromonosporaceae",Involved in cell division,reproduction,crgA,-,-,-,-,-,-,-,-,-,-,-,CrgA
J2S48_RS13770,K,234002.2898,17202.45145,559202.0472,4.96490421,5.022922146,0.402694578,12.47327979,1.04E-35,2.55E-33,"COG2197@1|root,COG2197@2|Bacteria,2HF28@201174|Actinobacteria,4F4ZR@85017|Promicromonosporaceae","helix_turn_helix, Lux Regulon",,-,-,-,-,-,-,-,-,-,-,-,-,GerE
J2S48_RS18870,S,20328.33985,3854.456451,45039.16494,3.516416092,3.545286067,0.287839902,12.31686796,7.35E-35,1.57E-32,"COG2229@1|root,COG2229@2|Bacteria,2GJIT@201174|Actinobacteria,4F42W@85017|Promicromonosporaceae",Conserved hypothetical ATP binding protein,,-,-,-,ko:K06945,-,-,-,-,ko00000,-,-,-,ATP_bind_1
J2S48_RS02320,S,1279.537388,75.6267049,3085.403412,5.319776427,5.392230725,0.458527368,11.75988852,6.28E-32,1.13E-29,"COG0523@1|root,COG0523@2|Bacteria,2HNN0@201174|Actinobacteria,4F0DD@85016|Cellulomonadaceae",PFAM cobalamin synthesis CobW domain protein,,-,-,-,-,-,-,-,-,-,-,-,-,"CobW_C,cobW"
J2S48_RS14420,T,14699.4208,2241.95095,33385.62558,3.845753329,3.898100981,0.332850109,11.71128046,1.12E-31,1.81E-29,"COG1366@1|root,COG1366@2|Bacteria,2HXXA@201174|Actinobacteria,4F4SQ@85017|Promicromonosporaceae",STAS domain,,-,-,-,-,-,-,-,-,-,-,-,-,STAS_2
J2S48_RS00300,S,4596.1573,584.4723777,10613.68468,4.136871587,4.193661837,0.369294982,11.35585925,6.94E-30,1.03E-27,"COG5620@1|root,COG5620@2|Bacteria,2GS1C@201174|Actinobacteria,4F4S8@85017|Promicromonosporaceae","Psort location Cytoplasmic, score",,-,-,-,-,-,-,-,-,-,-,-,-,-
J2S48_RS18920,G,3246.248717,799.0620519,6917.028714,3.070817111,3.114086455,0.287651995,10.82588165,2.60E-27,3.16E-25,"COG1172@1|root,COG1172@2|Bacteria,2GJDW@201174|Actinobacteria,4F3DS@85017|Promicromonosporaceae",Belongs to the binding-protein-dependent transport system permease family,,-,-,-,ko:K10440,"ko02010,map02010",M00212,-,-,"ko00000,ko00001,ko00002,ko02000","3.A.1.2.1,3.A.1.2.13,3.A.1.2.19",-,-,BPD_transp_2
J2S48_RS06970,S,1174.102444,177.9621825,2668.312836,3.864396724,3.923486585,0.363536184,10.79256139,3.73E-27,4.39E-25,"COG3173@1|root,COG3173@2|Bacteria,2GMHD@201174|Actinobacteria",Aminoglycoside phosphotransferase,antibiotic resistance,-,-,-,-,-,-,-,-,-,-,-,-,APH
J2S48_RS12905,C,2252.216072,218.5959885,5302.646198,4.511505769,4.582912328,0.425654195,10.76675005,4.94E-27,5.44E-25,"COG1804@1|root,COG1804@2|Bacteria,2GIU7@201174|Actinobacteria",L-carnitine dehydratase bile acid-inducible protein F,,-,-,2.8.3.16,ko:K07749,-,-,-,-,"ko00000,ko01000",-,-,-,CoA_transf_3
J2S48_RS15180,K,1485.935709,323.5168904,3229.563936,3.261522577,3.313179886,0.310783034,10.66074888,1.55E-26,1.61E-24,"COG1414@1|root,COG1414@2|Bacteria,2GNHA@201174|Actinobacteria",Transcriptional regulator,,pcaR,-,-,ko:K02624,-,-,-,-,"ko00000,ko03000",-,-,-,"HTH_IclR,IclR"
J2S48_RS14525,,9995.976897,3188.569866,20207.08744,2.619886471,2.662883048,0.258057348,10.31895845,5.78E-25,5.20E-23,,,,,,,,,,,,,,,,
J2S48_RS16725,S,1489.034434,151.2178324,3495.759335,4.47945316,4.557212801,0.441602098,10.31972633,5.74E-25,5.20E-23,"COG2340@1|root,COG2340@2|Bacteria,2HF2J@201174|Actinobacteria,4F50J@85017|Promicromonosporaceae",Cysteine-rich secretory protein family,,-,-,-,-,-,-,-,-,-,-,-,-,CAP
J2S48_RS04025,C,1897.988816,150.6177319,4519.045443,4.799720867,4.896185007,0.48517624,10.09155973,6.02E-24,5.14E-22,"COG1620@1|root,COG1620@2|Bacteria,2GIUF@201174|Actinobacteria",L-lactate permease,energy,-,-,-,ko:K03303,-,-,-,-,"ko00000,ko02000",2.A.14,-,-,Lactate_perm
J2S48_RS21085,,3025.71876,415.2686614,6941.393909,4.006920751,4.07829198,0.407635583,10.00474971,1.45E-23,1.18E-21,,,,,,,,,,,,,,,,
J2S48_RS13420,O,11407.81336,784.8685946,27342.23051,5.022170995,5.121455527,0.527500039,9.708919718,2.76E-22,2.14E-20,"COG1404@1|root,COG3055@1|root,COG1404@2|Bacteria,COG3055@2|Bacteria,2HQIW@201174|Actinobacteria,4F5H7@85017|Promicromonosporaceae",Subtilase family,,bpr,"GO:0005575,GO:0005576",3.2.1.4,"ko:K01179,ko:K13276","ko00500,ko01100,map00500,map01100",-,"R06200,R11307,R11308",-,"ko00000,ko00001,ko01000,ko01002,ko03110",-,"GH5,GH9",-,"CarbopepD_reg_2,CarboxypepD_reg,Inhibitor_I9,Malectin,PKD,Peptidase_M6,Peptidase_S8"
J2S48_RS07055,Q,1142.592725,217.3971476,2530.38609,3.484970999,3.550236254,0.366521007,9.686310435,3.45E-22,2.61E-20,"COG2124@1|root,COG2124@2|Bacteria,2GJKV@201174|Actinobacteria",Belongs to the cytochrome P450 family,,-,-,-,-,-,-,-,-,-,-,-,-,p450
J2S48_RS17310,,1227.597565,220.6868946,2737.963571,3.568896686,3.636928948,0.379970273,9.571614422,1.05E-21,7.64E-20,,,,,,,,,,,,,,,,
J2S48_RS02120,,788.014066,89.11392912,1836.364271,4.298965139,4.385837265,0.459036115,9.55444926,1.24E-21,8.83E-20,,,,,,,,,,,,,,,,
J2S48_RS11240,G,5857.055166,1315.649182,12669.16414,3.213181777,3.27234477,0.344026135,9.5119075,1.87E-21,1.30E-19,"COG1879@1|root,COG1879@2|Bacteria,2GJ0Z@201174|Actinobacteria,4F3X6@85017|Promicromonosporaceae",Periplasmic binding protein domain,,-,-,-,"ko:K02058,ko:K10439","ko02010,ko02030,map02010,map02030","M00212,M00221",-,-,"ko00000,ko00001,ko00002,ko02000","3.A.1.2,3.A.1.2.1,3.A.1.2.13,3.A.1.2.19",-,-,Peripla_BP_4
J2S48_RS11225,G,7477.138909,1337.073661,16687.23678,3.568000492,3.637947969,0.386573665,9.410749604,4.93E-21,3.17E-19,"COG1172@1|root,COG1172@2|Bacteria,2GJDW@201174|Actinobacteria,4F3Y7@85017|Promicromonosporaceae",Branched-chain amino acid transport system / permease component,,-,-,-,"ko:K02057,ko:K10440,ko:K17209","ko02010,map02010","M00212,M00221,M00592",-,-,"ko00000,ko00001,ko00002,ko02000","3.A.1.2,3.A.1.2.1,3.A.1.2.13,3.A.1.2.19,3.A.1.2.21",-,-,BPD_transp_2
J2S48_RS20880,P,2368.242892,209.7648619,5605.959937,4.667642198,4.766202956,0.506422395,9.411516956,4.89E-21,3.17E-19,"COG1121@1|root,COG1121@2|Bacteria,2GP3A@201174|Actinobacteria,4F3EE@85017|Promicromonosporaceae",ABC transporter,,mntB,-,-,ko:K09817,"ko02010,map02010",M00242,-,-,"ko00000,ko00001,ko00002,ko01000,ko02000","3.A.1.15.3,3.A.1.15.5",-,-,ABC_tran
J2S48_RS07235,S,2873.546502,642.1037517,6220.710629,3.204922324,3.267663684,0.347631563,9.39978999,5.47E-21,3.39E-19,"COG2270@1|root,COG2270@2|Bacteria,2I416@201174|Actinobacteria",Major facilitator Superfamily,,-,-,-,-,-,-,-,-,-,-,-,-,MFS_1
J2S48_RS09620,,1417.287434,276.8411056,3127.956927,3.421790619,3.487275199,0.371412364,9.389227555,6.04E-21,3.68E-19,,,,,,,,,,,,,,,,
J2S48_RS16875,E,3661.486826,697.9343666,8106.815516,3.461973061,3.530896766,0.376215649,9.3853001,6.27E-21,3.76E-19,"COG0747@1|root,COG0747@2|Bacteria,2GNKN@201174|Actinobacteria,4F5FT@85017|Promicromonosporaceae","Bacterial extracellular solute-binding proteins, family 5 Middle",,-,-,-,ko:K02035,"ko02024,map02024",M00239,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.5,-,-,SBP_bac_5
J2S48_RS19745,S,2648.089068,522.6166871,5836.297639,3.406371834,3.471585197,0.373110213,9.304449662,1.35E-20,7.93E-19,"COG3181@1|root,COG3181@2|Bacteria,2I3SR@201174|Actinobacteria,4DFFQ@85008|Micromonosporales",Tripartite tricarboxylate transporter family receptor,,-,-,-,-,-,-,-,-,-,-,-,-,TctC
J2S48_RS12825,T,5808.188809,731.1148052,13423.79982,4.114567119,4.203859869,0.454581704,9.247754216,2.29E-20,1.33E-18,"COG3290@1|root,COG3290@2|Bacteria,2GIRZ@201174|Actinobacteria",signal transduction histidine kinase regulating citrate malate metabolism,,-,-,2.7.13.3,ko:K02476,-,-,-,-,"ko00000,ko01000,ko01001,ko02022",-,-,-,"HATPase_c,PAS,PAS_4,PAS_8,SPOB_a,sCache_3_2"
J2S48_RS02165,L,1029.016747,217.7537565,2245.911233,3.309104081,3.378533565,0.368869703,9.159151683,5.23E-20,2.83E-18,"COG0507@1|root,COG3410@1|root,COG0507@2|Bacteria,COG3410@2|Bacteria,2HNSJ@201174|Actinobacteria",Uncharacterized conserved protein (DUF2075),,-,-,-,ko:K09384,-,-,-,-,ko00000,-,-,-,DUF2075
J2S48_RS20130,G,6068.61566,2342.829017,11657.29563,2.275628808,2.315389086,0.253487132,9.134148434,6.59E-20,3.52E-18,"COG1653@1|root,COG1653@2|Bacteria,2GNI2@201174|Actinobacteria,4F50U@85017|Promicromonosporaceae",Bacterial extracellular solute-binding protein,,smoE,-,-,"ko:K02027,ko:K10227","ko02010,map02010","M00200,M00207",-,-,"ko00000,ko00001,ko00002,ko02000","3.A.1.1,3.A.1.1.5",-,-,SBP_bac_1
J2S48_RS18880,P,14006.18169,4082.650931,28891.47783,2.766416206,2.822557378,0.309967548,9.105977038,8.55E-20,4.49E-18,"COG2072@1|root,COG2072@2|Bacteria,2GMDH@201174|Actinobacteria",flavoprotein involved in K transport,,-,-,-,-,-,-,-,-,-,-,-,-,FMO-like
J2S48_RS19345,S,1501.540143,414.3431654,3132.335611,2.853745596,2.910833174,0.323093037,9.009272367,2.07E-19,1.06E-17,"COG3397@1|root,COG3397@2|Bacteria,2GM54@201174|Actinobacteria,4F5HH@85017|Promicromonosporaceae","Lytic polysaccharide mono-oxygenase, cellulose-degrading",,-,-,-,-,-,-,-,-,-,-,-,-,"CBM_5_12,LPMO_10"
J2S48_RS14920,C,54067.29024,20202.53029,104864.4302,2.336572827,2.375673565,0.263984485,8.999292379,2.27E-19,1.14E-17,"COG1071@1|root,COG1071@2|Bacteria,2GK3W@201174|Actinobacteria,4F464@85017|Promicromonosporaceae",Dehydrogenase E1 component,,pdhA,-,"1.2.4.1,1.2.4.4","ko:K00161,ko:K00166","ko00010,ko00020,ko00280,ko00620,ko00640,ko01100,ko01110,ko01120,ko01130,ko01200,ko04066,ko04922,ko05230,map00010,map00020,map00280,map00620,map00640,map01100,map01110,map01120,map01130,map01200,map04066,map04922,map05230","M00036,M00307","R00014,R00209,R01699,R03270,R07599,R07600,R07601,R07602,R07603,R07604,R10996,R10997","RC00004,RC00027,RC00627,RC02742,RC02743,RC02744,RC02882,RC02883,RC02949,RC02953","br01601,ko00000,ko00001,ko00002,ko01000",-,-,-,E1_dh
J2S48_RS12910,P,1535.417485,147.9512049,3616.616905,4.504121929,4.608206526,0.514522085,8.956285189,3.36E-19,1.66E-17,"COG0471@1|root,COG0471@2|Bacteria,2GKEG@201174|Actinobacteria",Dicarboxylate carrier,,-,-,-,-,-,-,-,-,-,-,-,-,"CitMHS,MatC_N"
J2S48_RS06720,O,1538.54241,93.87231567,3705.547551,5.193585722,5.317154512,0.597719172,8.895740274,5.80E-19,2.83E-17,"COG0492@1|root,COG0492@2|Bacteria,2GIXN@201174|Actinobacteria",pyridine nucleotide-disulphide oxidoreductase,,-,-,-,-,-,-,-,-,-,-,-,-,Pyr_redox_2
